condition	GO_enrichment	concord	compound	SGTC_ID	SGTC_ID.BP	signature	type	drug
NIBR_2134:200uM	NIBR_2134:200uM	no GO enrichment							2134
NIBR_2290|A:200uM	NIBR_2290|A:200uM	no GO enrichment							2290
NIBR_2291:200uM	NIBR_2291:200uM	no GO enrichment							2291
NIBR_2296:200uM	NIBR_2296:200uM	no GO enrichment							2296
NIBR_1314:22uM	NIBR_1314:22uM	no GO enrichment							1314
NIBR_1356:3uM	NIBR_1356:3uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1356_3_NIBR_0065_2019-09-16-16-45-55_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1356_3_NIBR_0065</a>	0.86	1896-0090	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_752>SGTC_752</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_752.BP>SGTC_752.BP</a>	TSC3-RPN4	major	1356
NIBR_2079:3uM	NIBR_2079:3uM	no GO enrichment							2079
NIBR_1328:3.2uM	NIBR_1328:3.2uM	no GO enrichment							1328
NIBR_2080:3uM	NIBR_2080:3uM	no GO enrichment							2080
NIBR_1317:35uM	NIBR_1317:35uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1317_35_NIBR_0065_2019-09-16-16-46-03_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1317_35_NIBR_0065</a>	0.6	1348-1378	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_977>SGTC_977</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_977.BP>SGTC_977.BP</a>		unique	1317
NIBR_1356:5uM	NIBR_1356:5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1356_5_NIBR_0065_2019-09-16-16-46-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1356_5_NIBR_0065</a>	0.93	1896-0090	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_752>SGTC_752</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_752.BP>SGTC_752.BP</a>	TSC3-RPN4	major	1356
NIBR_1317:50uM	NIBR_1317:50uM	no GO enrichment							1317
NIBR_2289:60uM	NIBR_2289:60uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2289_60_NIBR_0065_2019-09-16-16-46-10_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2289_60_NIBR_0065</a>	0.44	3772-2733	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_562>SGTC_562</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_562.BP>SGTC_562.BP</a>	ERG2	major	2289
NIBR_1356:7uM	NIBR_1356:7uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1356_7_NIBR_0065_2019-09-16-16-46-12_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1356_7_NIBR_0065</a>	0.86	1896-0090	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_752>SGTC_752</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_752.BP>SGTC_752.BP</a>	TSC3-RPN4	major	1356
NIBR_1329:75uM	NIBR_1329:75uM	no GO enrichment							1329
NIBR_1318:90uM	NIBR_1318:90uM	no GO enrichment							1318
NIBR_2108:92.25uM	NIBR_2108:92.25uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2108_92.25_NIBR_0065_2019-09-16-16-46-19_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2108_92.25_NIBR_0065</a>	0.45	st037281	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1724>SGTC_1724</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1724.BP>SGTC_1724.BP</a>	28	minor	2108
NIBR_1321:0.15uM	NIBR_1321:0.15uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1321_0.15_NIBR_0068_2019-09-16-16-46-21_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1321_0.15_NIBR_0068</a>	0.44	nsc-65238	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_260>SGTC_260</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_260.BP>SGTC_260.BP</a>	endomembrane recycling	major	1321
NIBR_1419:0.2uM	NIBR_1419:0.2uM	no GO enrichment							1419
NIBR_1419:0.6uM	NIBR_1419:0.6uM	no GO enrichment							1419
NIBR_1420:1uM	NIBR_1420:1uM	no GO enrichment							1420
NIBR_1416:10uM	NIBR_1416:10uM	no GO enrichment							1416
NIBR_1320:15uM	NIBR_1320:15uM	no GO enrichment							1320
NIBR_1398:15uM	NIBR_1398:15uM	no GO enrichment							1398
NIBR_1416:16uM	NIBR_1416:16uM	no GO enrichment							1416
NIBR_1420:2uM	NIBR_1420:2uM	no GO enrichment							1420
NIBR_1369|B:20uM	NIBR_1369|B:20uM	no GO enrichment							1369
NIBR_1398:20uM	NIBR_1398:20uM	no GO enrichment							1398
NIBR_1408|B:200uM	NIBR_1408|B:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1408_200_NIBR_0068_2019-09-16-16-46-45_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1408_200_NIBR_0068</a>	0.24	0100-0052	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_87>SGTC_87</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_87.BP>SGTC_87.BP</a>	101	minor	1408
NIBR_1439|B:200uM	NIBR_1439|B:200uM	no GO enrichment							1439
NIBR_1441:24uM	NIBR_1441:24uM	no GO enrichment							1441
NIBR_1320:25uM	NIBR_1320:25uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1320_25_NIBR_0068_2019-09-16-16-46-52_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1320_25_NIBR_0068</a>	0.46	purpurogallin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2504>SGTC_2504</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2504.BP>SGTC_2504.BP</a>	RPP1 & pyrimidine depletion	major	1320
NIBR_1369:25uM	NIBR_1369:25uM	no GO enrichment							1369
NIBR_1407:25uM	NIBR_1407:25uM	no GO enrichment							1407
NIBR_1422:25uM	NIBR_1422:25uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1422_25_NIBR_0068_2019-09-16-16-46-59_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1422_25_NIBR_0068</a>	0.62	st005209	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1630>SGTC_1630</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1630.BP>SGTC_1630.BP</a>	329	minor	1422
NIBR_1441:28uM	NIBR_1441:28uM	no GO enrichment							1441
NIBR_1442:28uM	NIBR_1442:28uM	no GO enrichment							1442
NIBR_1445:3uM	NIBR_1445:3uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1445_3_NIBR_0068_2019-09-16-16-47-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1445_3_NIBR_0068</a>	0.6	jasmonic acid 	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1116>SGTC_1116</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1116.BP>SGTC_1116.BP</a>	148	minor	1445
NIBR_1421:3.5uM	NIBR_1421:3.5uM	no GO enrichment							1421
NIBR_1422:30uM	NIBR_1422:30uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1422_30_NIBR_0068_2019-09-16-16-47-09_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1422_30_NIBR_0068</a>	0.62	9128781	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_3211>SGTC_3211</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_3211.BP>SGTC_3211.BP</a>		unique	1422
NIBR_1359:35uM	NIBR_1359:35uM	no GO enrichment							1359
NIBR_1445:4.5uM	NIBR_1445:4.5uM	no GO enrichment							1445
NIBR_1360:50uM	NIBR_1360:50uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1360_50_NIBR_0068_2019-09-16-16-47-16_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1360_50_NIBR_0068</a>	0	0258-0098	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1>SGTC_1</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1.BP>SGTC_1.BP</a>	heme biosynthesis & mitochondrial translocase	major	1360
NIBR_1360:55uM	NIBR_1360:55uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1360_55_NIBR_0068_2019-09-16-16-47-18_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1360_55_NIBR_0068</a>	0	0258-0098	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1>SGTC_1</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1.BP>SGTC_1.BP</a>	heme biosynthesis & mitochondrial translocase	major	1360
NIBR_1421:6uM	NIBR_1421:6uM	no GO enrichment							1421
NIBR_1436:6uM	NIBR_1436:6uM	no GO enrichment							1436
NIBR_1445:6uM	NIBR_1445:6uM	no GO enrichment							1445
NIBR_1360:60uM	NIBR_1360:60uM	no GO enrichment							1360
NIBR_1406:60uM	NIBR_1406:60uM	no GO enrichment							1406
NIBR_1396:7uM	NIBR_1396:7uM	no GO enrichment							1396
NIBR_1444:7.5uM	NIBR_1444:7.5uM	no GO enrichment							1444
NIBR_1406:75uM	NIBR_1406:75uM	no GO enrichment							1406
NIBR_1394:80uM	NIBR_1394:80uM	no GO enrichment							1394
NIBR_1444:9uM	NIBR_1444:9uM	no GO enrichment							1444
NIBR_2328:0.078uM	NIBR_2328:0.078uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2328_0.078_NIBR_0070_2019-09-16-16-47-42_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2328_0.078_NIBR_0070</a>	0.72	4-chloro-8-(diethylamino)pyrano[3,2-c]chromene-2,5-dione	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1858>SGTC_1858</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1858.BP>SGTC_1858.BP</a>	TSC3-RPN4	major	2328
NIBR_2326:0.109uM	NIBR_2326:0.109uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2326_0.109_NIBR_0070_2019-09-16-16-47-45_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2326_0.109_NIBR_0070</a>	0.81	mitomycin C	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2677>SGTC_2677</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2677.BP>SGTC_2677.BP</a>	DNA damage response	major	2326
NIBR_1321:0.2uM	NIBR_1321:0.2uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1321_0.2_NIBR_0070_2019-09-16-16-47-47_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1321_0.2_NIBR_0070</a>	0.51	nsc-65238	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_260>SGTC_260</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_260.BP>SGTC_260.BP</a>	endomembrane recycling	major	1321
NIBR_1565:0.3uM	NIBR_1565:0.3uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1565_0.3_NIBR_0070_2019-09-16-16-47-50_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1565_0.3_NIBR_0070</a>	0.29	5915882	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2192>SGTC_2192</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2192.BP>SGTC_2192.BP</a>	RNA processing & uracil transport	major	1565
NIBR_2341:0.36uM	NIBR_2341:0.36uM	no GO enrichment							2341
NIBR_2323:0.941uM	NIBR_2323:0.941uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2323_0.941_NIBR_0070_2019-09-16-16-47-55_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2323_0.941_NIBR_0070</a>	0.7	0180-0332	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_88>SGTC_88</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_88.BP>SGTC_88.BP</a>	75	minor	2323
NIBR_130:100uM	NIBR_130:100uM	no GO enrichment							130
NIBR_131:100uM	NIBR_131:100uM	no GO enrichment							131
NIBR_804:102.362uM	NIBR_804:102.362uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=804_102.362_NIBR_0070_2019-09-16-16-48-02_fdrThresh_0.1_MCL_HyperG_withNonEnrich>804_102.362_NIBR_0070</a>	0.43	0100-0052	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_87>SGTC_87</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_87.BP>SGTC_87.BP</a>	101	minor	804
NIBR_1384:11uM	NIBR_1384:11uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1384_11_NIBR_0070_2019-09-16-16-48-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1384_11_NIBR_0070</a>	0.18	4031-0024	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1422>SGTC_1422</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1422.BP>SGTC_1422.BP</a>	iron homeostasis	major	1384
NIBR_139:12uM	NIBR_139:12uM	no GO enrichment							139
NIBR_1384:13uM	NIBR_1384:13uM	no GO enrichment							1384
NIBR_236:140uM	NIBR_236:140uM	no GO enrichment							236
NIBR_2338:15uM	NIBR_2338:15uM	no GO enrichment							2338
NIBR_804:150uM	NIBR_804:150uM	no GO enrichment							804
NIBR_378:160uM	NIBR_378:160uM	no GO enrichment							378
NIBR_1307|B:200uM	NIBR_1307|B:200uM	no GO enrichment							1307
NIBR_1349|B:200uM	NIBR_1349|B:200uM	no GO enrichment							1349
NIBR_1440:200uM	NIBR_1440:200uM	no GO enrichment							1440
NIBR_2290|B:200uM	NIBR_2290|B:200uM	no GO enrichment							2290
NIBR_1357:23uM	NIBR_1357:23uM	no GO enrichment							1357
NIBR_1359|B:25uM	NIBR_1359|B:25uM	no GO enrichment							1359
NIBR_2288:25uM	NIBR_2288:25uM	no GO enrichment							2288
NIBR_1357:28uM	NIBR_1357:28uM	no GO enrichment							1357
NIBR_2325:3.643uM	NIBR_2325:3.643uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2325_3.643_NIBR_0070_2019-09-16-16-48-36_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2325_3.643_NIBR_0070</a>	0.99	st003709	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1623>SGTC_1623</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1623.BP>SGTC_1623.BP</a>	calcium & mitochondrial duress	major	2325
NIBR_1359:30uM	NIBR_1359:30uM	no GO enrichment							1359
NIBR_2285:30uM	NIBR_2285:30uM	no GO enrichment							2285
NIBR_1267:42uM	NIBR_1267:42uM	no GO enrichment							1267
NIBR_2209:55uM	NIBR_2209:55uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2209_55_NIBR_0070_2019-09-16-16-48-46_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2209_55_NIBR_0070</a>	0.29	7946404	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2289>SGTC_2289</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2289.BP>SGTC_2289.BP</a>		unique	2209
NIBR_125|A:60uM	NIBR_125|A:60uM	no GO enrichment							125
NIBR_2283:80uM	NIBR_2283:80uM	no GO enrichment							2283
NIBR_2357:1uM	NIBR_2357:1uM	no GO enrichment							2357
NIBR_2346:10uM	NIBR_2346:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2346_10_NIBR_0072_2019-09-16-16-48-58_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2346_10_NIBR_0072</a>	0.91	0448-0043	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1247>SGTC_1247</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1247.BP>SGTC_1247.BP</a>	ERG2	major	2346
NIBR_2353:10uM	NIBR_2353:10uM	no GO enrichment							2353
NIBR_2418:130.232uM	NIBR_2418:130.232uM	no GO enrichment							2418
NIBR_2421:136.3uM	NIBR_2421:136.3uM	no GO enrichment							2421
NIBR_2419:147.262uM	NIBR_2419:147.262uM	no GO enrichment							2419
NIBR_1401:15uM	NIBR_1401:15uM	no GO enrichment							1401
NIBR_2406:15uM	NIBR_2406:15uM	no GO enrichment							2406
NIBR_827:150uM	NIBR_827:150uM	no GO enrichment							827
NIBR_2384:160uM	NIBR_2384:160uM	no GO enrichment							2384
NIBR_938:185.149uM	NIBR_938:185.149uM	no GO enrichment							938
NIBR_1401|B:20uM	NIBR_1401|B:20uM	no GO enrichment							1401
NIBR_827:200uM	NIBR_827:200uM	no GO enrichment							827
NIBR_2383:200uM	NIBR_2383:200uM	no GO enrichment							2383
NIBR_2385:200uM	NIBR_2385:200uM	no GO enrichment							2385
NIBR_2409:200uM	NIBR_2409:200uM	no GO enrichment							2409
NIBR_2422:200uM	NIBR_2422:200uM	no GO enrichment							2422
NIBR_2387:26.111uM	NIBR_2387:26.111uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2387_26.111_NIBR_0072_2019-09-16-16-49-30_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2387_26.111_NIBR_0072</a>	0.63	3253-0744	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_148>SGTC_148</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_148.BP>SGTC_148.BP</a>	68	minor	2387
NIBR_2423:32.176uM	NIBR_2423:32.176uM	no GO enrichment							2423
NIBR_1401:35uM	NIBR_1401:35uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1401_35_NIBR_0072_2019-09-16-16-49-35_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1401_35_NIBR_0072</a>	0.46	0100-0052	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_87>SGTC_87</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_87.BP>SGTC_87.BP</a>	101	minor	1401
NIBR_2345:4uM	NIBR_2345:4uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2345_4_NIBR_0072_2019-09-16-16-49-37_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2345_4_NIBR_0072</a>	0.48	k017-0060	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_289>SGTC_289</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_289.BP>SGTC_289.BP</a>	50	minor	2345
NIBR_2344:5uM	NIBR_2344:5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2344_5_NIBR_0072_2019-09-16-16-49-40_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2344_5_NIBR_0072</a>	0.33	3966-0071	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1415>SGTC_1415</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1415.BP>SGTC_1415.BP</a>	DNA intercalators	major	2344
NIBR_2342:5.936uM	NIBR_2342:5.936uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2342_5.936_NIBR_0072_2019-09-16-16-49-42_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2342_5.936_NIBR_0072</a>	0.84	0448-0043	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1247>SGTC_1247</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1247.BP>SGTC_1247.BP</a>	ERG2	major	2342
NIBR_2319|A:50uM	NIBR_2319|A:50uM	no GO enrichment							2319
NIBR_2420:55.826uM	NIBR_2420:55.826uM	no GO enrichment							2420
NIBR_2356:6uM	NIBR_2356:6uM	no GO enrichment							2356
NIBR_2195:82uM	NIBR_2195:82uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2195_82_NIBR_0072_2019-09-16-16-49-52_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2195_82_NIBR_0072</a>	0.46	0236-0016	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_122>SGTC_122</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_122.BP>SGTC_122.BP</a>	RNA processing & uracil transport	major	2195
NIBR_1495:0.035uM	NIBR_1495:0.035uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1495_0.035_NIBR_0074_2019-09-16-16-49-57_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1495_0.035_NIBR_0074</a>	0.54	9034121	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2361>SGTC_2361</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2361.BP>SGTC_2361.BP</a>	RSC complex & mRNA processing	major	1495
NIBR_1544:10uM	NIBR_1544:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1544_10_NIBR_0074_2019-09-16-16-50-00_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1544_10_NIBR_0074</a>	0.49	0100-0052	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_87>SGTC_87</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_87.BP>SGTC_87.BP</a>	101	minor	1544
NIBR_2415:162.533uM	NIBR_2415:162.533uM	no GO enrichment							2415
NIBR_1366:180uM	NIBR_1366:180uM	no GO enrichment							1366
NIBR_1541:20uM	NIBR_1541:20uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=1541_20_NIBR_0074_2019-09-16-16-50-07_fdrThresh_0.1_MCL_HyperG_withNonEnrich>1541_20_NIBR_0074</a>	0.6	3970-0862	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_168>SGTC_168</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_168.BP>SGTC_168.BP</a>	83	minor	1541
NIBR_710|B:200uM	NIBR_710|B:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=710_200_NIBR_0074_2019-09-16-16-50-10_fdrThresh_0.1_MCL_HyperG_withNonEnrich>710_200_NIBR_0074</a>	0.55	0266-0086	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_15>SGTC_15</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_15.BP>SGTC_15.BP</a>	endomembrane recycling	major	710
