gene	cluster	count	score	site	signature
RPN4	45	2	3.7	NIBR & UBC	PDR1-RPN4
BAP2	46	2	6.75	NIBR & UBC	BAP2-THR4
THR4	46	2	4.59	NIBR & UBC	BAP2-THR4
RET2	47	1	3.54	NIBR & UBC	RET2
GCS1	48	8	5.36	NIBR & UBC	iron homeostasisII
GEF1	48	8	4.67	NIBR & UBC	iron homeostasisII
YDR269C	48	8	3.75	NIBR & UBC	iron homeostasisII
CCC2	48	8	3.66	NIBR & UBC	iron homeostasisII
FET3	48	8	3.59	NIBR & UBC	iron homeostasisII
KHA1	48	8	3.35	NIBR & UBC	iron homeostasisII
YDR271C	48	8	3.2	NIBR & UBC	iron homeostasisII
SEC31	48	8	3.18	NIBR & UBC	iron homeostasisII
ATP11	49	1	5.4	NIBR & UBC	ATP11
ERG12	51	7	3.92	NIBR & UBC	EFM1-CEP3
EFM1	51	7	3.72	NIBR & UBC	EFM1-CEP3
CEP3	51	7	3.67	NIBR & UBC	EFM1-CEP3
MME1	51	7	3.63	NIBR & UBC	EFM1-CEP3
PMI40	51	7	3.36	NIBR & UBC	EFM1-CEP3
PTI1	51	7	3.18	NIBR & UBC	EFM1-CEP3
RRS1	51	7	3.1	NIBR & UBC	EFM1-CEP3
RAD55	52	11	7.21	NIBR & UBC	dna damage
RAD54	52	11	6.7	NIBR & UBC	dna damage
RAD18	52	11	6.62	NIBR & UBC	dna damage
RAD57	52	11	6.4	NIBR & UBC	dna damage
RAD5	52	11	6.18	NIBR & UBC	dna damage
RAD59	52	11	5.33	NIBR & UBC	dna damage
YBR099C	52	11	4.73	NIBR & UBC	dna damage
SRS2	52	11	4.55	NIBR & UBC	dna damage
MMS4	52	11	4.2	NIBR & UBC	dna damage
MUS81	52	11	4.19	NIBR & UBC	dna damage
MMS2	52	11	3.67	NIBR & UBC	dna damage
TOR1	53	14	18.37	NIBR & UBC	TOR signaling; rapamycin
KOG1	53	14	10.75	NIBR & UBC	TOR signaling; rapamycin
SLM4	53	14	9.12	NIBR & UBC	TOR signaling; rapamycin
GTR1	53	14	7.84	NIBR & UBC	TOR signaling; rapamycin
MEH1	53	14	6.79	NIBR & UBC	TOR signaling; rapamycin
GTR2	53	14	6.67	NIBR & UBC	TOR signaling; rapamycin
CKA2	53	14	5.49	NIBR & UBC	TOR signaling; rapamycin
TCO89	53	14	5.19	NIBR & UBC	TOR signaling; rapamycin
PRS3	53	14	5.06	NIBR & UBC	TOR signaling; rapamycin
VAC8	53	14	4.62	NIBR & UBC	TOR signaling; rapamycin
RPL34B	53	14	4.61	NIBR & UBC	TOR signaling; rapamycin
VAC17	53	14	3.33	NIBR & UBC	TOR signaling; rapamycin
PHO80	53	14	3.16	NIBR & UBC	TOR signaling; rapamycin
SIW14	53	14	3.13	NIBR & UBC	TOR signaling; rapamycin
YDR269C	54	9	10.18	NIBR & UBC	iron homeostasisI
FET3	54	9	9.5	NIBR & UBC	iron homeostasisI
FTR1	54	9	8.57	NIBR & UBC	iron homeostasisI
CCC2	54	9	8.22	NIBR & UBC	iron homeostasisI
YDR271C	54	9	8.17	NIBR & UBC	iron homeostasisI
GEF1	54	9	6.58	NIBR & UBC	iron homeostasisI
ATX1	54	9	5.23	NIBR & UBC	iron homeostasisI
KHA1	54	9	4.42	NIBR & UBC	iron homeostasisI
AFT1	54	9	3.26	NIBR & UBC	iron homeostasisI
MRP7	55	33	4.88	NIBR & UBC	mitochondrial translation
MRPL17	55	33	4.83	NIBR & UBC	mitochondrial translation
GTF1	55	33	4.82	NIBR & UBC	mitochondrial translation
MRPL9	55	33	4.73	NIBR & UBC	mitochondrial translation
MRPL11	55	33	4.58	NIBR & UBC	mitochondrial translation
MRPL31	55	33	4.46	NIBR & UBC	mitochondrial translation
SOV1	55	33	4.4	NIBR & UBC	mitochondrial translation
YIL060W	55	33	4.35	NIBR & UBC	mitochondrial translation
MRPS35	55	33	4.27	NIBR & UBC	mitochondrial translation
RML2	55	33	4.18	NIBR & UBC	mitochondrial translation
ATP5	55	33	4.08	NIBR & UBC	mitochondrial translation
MRPS12	55	33	4.01	NIBR & UBC	mitochondrial translation
MRPL32	55	33	3.97	NIBR & UBC	mitochondrial translation
SLM5	55	33	3.95	NIBR & UBC	mitochondrial translation
PPA2	55	33	3.84	NIBR & UBC	mitochondrial translation
MRPS5	55	33	3.81	NIBR & UBC	mitochondrial translation
SSQ1	55	33	3.78	NIBR & UBC	mitochondrial translation
MTG1	55	33	3.6	NIBR & UBC	mitochondrial translation
MSW1	55	33	3.6	NIBR & UBC	mitochondrial translation
RIM1	55	33	3.53	NIBR & UBC	mitochondrial translation
MRPL37	55	33	3.48	NIBR & UBC	mitochondrial translation
RSM7	55	33	3.48	NIBR & UBC	mitochondrial translation
NAM2	55	33	3.45	NIBR & UBC	mitochondrial translation
RSM18	55	33	3.43	NIBR & UBC	mitochondrial translation
MRPS28	55	33	3.37	NIBR & UBC	mitochondrial translation
MRPL51	55	33	3.35	NIBR & UBC	mitochondrial translation
RSM27	55	33	3.34	NIBR & UBC	mitochondrial translation
MRM1	55	33	3.25	NIBR & UBC	mitochondrial translation
MRH4	55	33	3.23	NIBR & UBC	mitochondrial translation
HMI1	55	33	3.2	NIBR & UBC	mitochondrial translation
HER2	55	33	3.17	NIBR & UBC	mitochondrial translation
MSH1	55	33	3.17	NIBR & UBC	mitochondrial translation
MSE1	55	33	3.11	NIBR & UBC	mitochondrial translation
WHI2	56	29	4.29	NIBR & UBC	mitochondrial respiration
CIN4	56	29	4.2	NIBR & UBC	mitochondrial respiration
MSS51	56	29	4.18	NIBR & UBC	mitochondrial respiration
COX11	56	29	3.99	NIBR & UBC	mitochondrial respiration
SIP3	56	29	3.97	NIBR & UBC	mitochondrial respiration
RSM19	56	29	3.93	NIBR & UBC	mitochondrial respiration
PET494	56	29	3.91	NIBR & UBC	mitochondrial respiration
MGM101	56	29	3.82	NIBR & UBC	mitochondrial respiration
BCS1	56	29	3.81	NIBR & UBC	mitochondrial respiration
YOR200W	56	29	3.77	NIBR & UBC	mitochondrial respiration
SCO1	56	29	3.72	NIBR & UBC	mitochondrial respiration
COR1	56	29	3.69	NIBR & UBC	mitochondrial respiration
YAK1	56	29	3.68	NIBR & UBC	mitochondrial respiration
COX7	56	29	3.63	NIBR & UBC	mitochondrial respiration
CBS1	56	29	3.59	NIBR & UBC	mitochondrial respiration
YDR230W	56	29	3.57	NIBR & UBC	mitochondrial respiration
IMP1	56	29	3.55	NIBR & UBC	mitochondrial respiration
MSS2	56	29	3.52	NIBR & UBC	mitochondrial respiration
CBP1	56	29	3.47	NIBR & UBC	mitochondrial respiration
YLR202C	56	29	3.4	NIBR & UBC	mitochondrial respiration
COQ9	56	29	3.4	NIBR & UBC	mitochondrial respiration
MRPL15	56	29	3.36	NIBR & UBC	mitochondrial respiration
MRF1	56	29	3.26	NIBR & UBC	mitochondrial respiration
RIM15	56	29	3.22	NIBR & UBC	mitochondrial respiration
PET117	56	29	3.18	NIBR & UBC	mitochondrial respiration
LAM1	56	29	3.18	NIBR & UBC	mitochondrial respiration
YDL032W	56	29	3.16	NIBR & UBC	mitochondrial respiration
OXA1	56	29	3.16	NIBR & UBC	mitochondrial respiration
PET191	56	29	3.13	NIBR & UBC	mitochondrial respiration
LRO1	57	1	11.71	NIBR & UBC	lipid storage; LRO1
NMD3	58	1	5.28	NIBR & UBC	60S ribosomal subunit export; LSG1/NMD3
PAC2	59	7	10.31	NIBR & UBC	tubulin complex; nocodazole
TUB3	59	7	9.49	NIBR & UBC	tubulin complex; nocodazole
CIN2	59	7	5.84	NIBR & UBC	tubulin complex; nocodazole
ARP6	59	7	4.86	NIBR & UBC	tubulin complex; nocodazole
VPS71	59	7	4.78	NIBR & UBC	tubulin complex; nocodazole
SWC3	59	7	4.44	NIBR & UBC	tubulin complex; nocodazole
SWR1	59	7	4.25	NIBR & UBC	tubulin complex; nocodazole
TSC3	60	1	14.04	UBC	TSC3
